Estado,Año,Alcoholicos,Adictos_tabaco,Adictos_Marihuana,Habitantes
Alabama,2002,138,930,141,2812905
Alaska,2002,27,112,46,368460
Arizona,2002,258,1032,215,3329482
Arkansas,2002,101,660,104,1687337
California,2002,1298,4721,1670,21392421
Colorado,2002,211,836,300,2798960
Connecticut,2002,120,578,158,2235763
Delaware,2002,31,146,36,514059
District of Columbia,2002,31,109,40,372907
Florida,2002,620,3089,900,11066322
Georgia,2002,331,1617,331,5202846
Hawaii,2002,45,186,59,761280
Idaho,2002,52,216,42,794611
Illinois,2002,564,2373,462,7825956
Indiana,2002,230,1228,245,3788500
Iowa,2002,114,544,104,1847207
Kansas,2002,86,506,87,1645149
Kentucky,2002,125,1004,177,2605898
Louisiana,2002,169,850,154,2668243
Maine,2002,51,267,68,869560
Maryland,2002,226,928,237,3466746
Massachusetts,2002,301,1045,472,4201348
Michigan,2002,444,2036,539,6298792
Minnesota,2002,223,939,225,3154577
Mississippi,2002,91,611,80,1704672
Missouri,2002,213,1285,280,3550250
Montana,2002,48,188,52,578710
Nebraska,2002,79,304,67,1058402
Nevada,2002,95,503,115,1379759
New Hampshire,2002,59,256,94,830689
New Jersey,2002,278,1455,279,5586200
New Mexico,2002,90,316,81,1122984
New York,2002,727,3498,1010,12316861
North Carolina,2002,273,1868,315,5204654
North Dakota,2002,29,119,19,389658
Ohio,2002,457,2579,500,7182193
Oklahoma,2002,109,746,119,2120890
Oregon,2002,131,666,214,2261755
Pennsylvania,2002,427,2582,477,8009346
Rhode Island,2002,53,202,64,688500
South Carolina,2002,160,805,153,2574050
South Dakota,2002,36,150,23,459901
Tennessee,2002,171,1253,164,3699537
Texas,2002,780,3801,641,12788834
Utah,2002,67,245,48,1222045
Vermont,2002,24,115,41,403822
Virginia,2002,265,1309,259,4560096
Washington,2002,224,971,346,3825493
West Virginia,2002,60,435,63,1197550
Wisconsin,2002,253,988,192,3425585
Wyoming,2002,21,101,20,310110
Alabama,2003,135,994,156,2834977
Alaska,2003,23,106,43,370098
Arizona,2003,276,969,233,3424675
Arkansas,2003,86,612,103,1703727
California,2003,1336,4238,1625,21686129
Colorado,2003,220,828,269,2828830
Connecticut,2003,139,577,174,2259754
Delaware,2003,29,143,34,522123
District of Columbia,2003,33,106,39,367787
Florida,2003,662,3174,833,11277251
